PD0TJFA9CI4R82FZ	2012-03-28 09:32:56	2013-01-30 10:59:27	19673
PD0TJFA9CI4R82FZ	2012-05-20 19:32:57	2013-01-30 10:59:27	19677
PD0TJFA9CI4R82FZ	2012-06-15 12:30:58	2013-01-30 10:59:27	19670
PD0TJFA9CI4R82FZ	2012-08-08 14:12:59	2013-01-30 10:59:27	19673
PD0TJFA9CI4R82FZ	2012-10-06 14:35:60	2013-01-30 10:59:27	19678
PD0TJFA9CI4R82FZ	2013-01-28 15:32:61	2013-01-30 10:59:27	19672			
QSMZTSXINHVEOIDM	2012-04-28 09:32:56	2013-01-30 10:59:27	19672
QSMZTSXINHVEOIDM	2012-03-28 09:32:57	2013-01-30 10:59:27	19675
QSMZTSXINHVEOIDM	2012-06-28 09:32:58	2013-01-30 10:59:27	19678
QSMZTSXINHVEOIDM	2012-07-28 09:32:59	2013-01-30 10:59:27	19674
QSMZTSXINHVEOIDM	2012-10-28 09:32:60	2013-01-30 10:59:27	19673
QSMZTSXINHVEOIDM	2012-04-20 09:32:61	2013-01-30 10:59:27	19679
QSMZTSXINHVEOIDM	2012-09-28 09:32:62	2013-01-30 10:59:27	19672			
3LPH84SHGZQDIJEG	2012-02-28 09:32:56	2013-01-30 10:59:27	19673
3LPH84SHGZQDIJEG	2012-03-20 09:32:57	2013-01-30 10:59:27	19678
3LPH84SHGZQDIJEG	2012-04-18 09:32:58	2013-01-30 10:59:27	19676
3LPH84SHGZQDIJEG	2012-05-07 09:32:59	2013-01-30 10:59:27	19673
3LPH84SHGZQDIJEG	2012-09-29 09:32:60	2013-01-30 10:59:27	19672			
LBIF5D8GF03GE6XP	2012-03-20 09:32:56	2013-01-30 10:59:27	19673
LBIF5D8GF03GE6XP	2012-04-08 09:32:57	2013-01-30 10:59:27	19672
LBIF5D8GF03GE6XP	2012-06-19 09:32:58	2013-01-30 10:59:27	19679
LBIF5D8GF03GE6XP	2012-11-08 09:32:59	2013-01-30 10:59:27	19675
C199V13IMUGVDIHN	2012-04-28 09:32:56	2013-01-30 10:59:27	19672
C199V13IMUGVDIHN	2012-06-09 09:32:57	2013-01-30 10:59:27	19670
C199V13IMUGVDIHN	2012-08-15 09:32:58	2013-01-30 10:59:27	19673
C199V13IMUGVDIHN	2012-12-20 09:32:59	2013-01-30 10:59:27	19678
JAXC36PDN4HB23GW	2012-02-28 09:32:56	2013-01-30 10:59:27	19670
JAXC36PDN4HB23GW	2012-04-28 19:32:57	2013-01-30 10:59:27	19678
JAXC36PDN4HB23GW	2012-05-28 20:32:58	2013-01-30 10:59:27	19674
JAXC36PDN4HB23GW	2012-08-28 02:32:59	2013-01-30 10:59:27	19674
N3TAHHURTHGAFWRB	2012-02-28 09:32:56	2013-01-30 10:59:27	19673
N3TAHHURTHGAFWRB	2012-05-28 09:32:57	2013-01-30 10:59:27	19675
N3TAHHURTHGAFWRB	2012-06-28 09:32:58	2013-01-30 10:59:27	19678
Z920U2YDXLN4V5HW	2012-02-28 09:32:56	2013-01-30 10:59:27	19678
Z920U2YDXLN4V5HW	2012-06-18 19:32:57	2013-01-30 10:59:27	19673
Z920U2YDXLN4V5HW	2012-12-08 04:32:58	2013-01-30 10:59:27	19675
CBBNR0RZG9II675A	2012-02-28 09:32:56	2013-01-30 10:59:27	19673
K5OL5M146K4MW8VP	2012-06-28 09:32:56	2013-01-30 10:59:27	19677
